artist|rank|src|title
Nicolas Jaar|7|metacritic_ye2011|Space Is Only Noise
Raphael Saadiq|8|metacritic_ye2011|Stone Rollin'
Russian Circles|9|metacritic_ye2011|Empros
Tim Hecker|10|metacritic_ye2011|Ravedeath, 1972
Fucked Up|11|metacritic_ye2011|David Comes to Life
Kate Bush|12|metacritic_ye2011|50 Words for Snow
Iceage|13|metacritic_ye2011|New Brigade
Paul Simon|14|metacritic_ye2011|So Beautiful or So What
Fleet Foxes|15|metacritic_ye2011|Helplessness Blues
Wild Beasts|16|metacritic_ye2011|Smother
The Field|17|metacritic_ye2011|Looping State of Mind
Gillian Welch|18|metacritic_ye2011|The Harrow and the Harvest 
St. Vincent|19|metacritic_ye2011|Strange Mercy
Destroyer|20|metacritic_ye2011|Kaputt
The Black Keys|21|metacritic_ye2011|El Camino
Beastie Boys|22|metacritic_ye2011|Hot Sauce Committee, Pt. 2 
The Horrors|23|metacritic_ye2011|Skying
Gang Gang Dance|24|metacritic_ye2011|Eye Contact
Sepalcure|25|metacritic_ye2011|Sepalcure 
Lykke Li|26|metacritic_ye2011|Wounded Rhymes
Megafaun|27|metacritic_ye2011|Megafaun
Mastodon|28|metacritic_ye2011|The Hunter
Wild Flag|29|metacritic_ye2011|Wild Flag
Wilco|30|metacritic_ye2011|The Whole Love
TV on the Radio|31|metacritic_ye2011|Nine Types of Light
Shabazz Palaces|32|metacritic_ye2011|Black Up
Gil Scott-Heron and Jamie xx|33|metacritic_ye2011|We're New Here
Elbow|34|metacritic_ye2011|Build a Rocket Boys!
Earth|35|metacritic_ye2011|Angels of Darkness, Demons of Light, Vol. 1
Laura Marling|36|metacritic_ye2011|A Creature I Don't Know
Julianna Barwick|37|metacritic_ye2011|The Magic Place
Atlas Sound|38|metacritic_ye2011|Parallax
Abigail Washburn|39|metacritic_ye2011|City of Refuge
Kurt Vile|40|metacritic_ye2011|Smoke Ring for My Halo
Frank Ocean|1|metacritic_ye2012|Channel Orange
Kendrick Lamar|2|metacritic_ye2012|good kid, m.A.A.d city
Fiona Apple|3|metacritic_ye2012|The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do 
Tame Impala|4|metacritic_ye2012|Lonerism
Converge|5|metacritic_ye2012|All We Love We Leave Behind
Swans|6|metacritic_ye2012|The Seer
Bill Fay|7|metacritic_ye2012|Life Is People
Deftones|8|metacritic_ye2012|Koi No Yokan
Grizzly Bear|9|metacritic_ye2012|Shields
Dr. John|10|metacritic_ye2012|Locked Down
Andy Stott|11|metacritic_ye2012|Luxury Problems
Miguel|12|metacritic_ye2012|Kaleidoscope Dream
High on Fire|13|metacritic_ye2012|De Vermis Mysteriis
Leonard Cohen|14|metacritic_ye2012|Old Ideas
Jessie Ware|15|metacritic_ye2012|Devotion
Killer Mike|16|metacritic_ye2012|R.A.P. Music
El-P|17|metacritic_ye2012|Cancer 4 Cure
Metz|18|metacritic_ye2012|METZ
Ty Segall Band|19|metacritic_ye2012|Slaughterhouse
Julia Holter|20|metacritic_ye2012|Ekstasis
Japandroids|21|metacritic_ye2012|Celebration Rock
Torche|22|metacritic_ye2012|Harmonicraft
Screaming Females|23|metacritic_ye2012|Ugly
Bob Dylan|24|metacritic_ye2012|Tempest
Jack White|25|metacritic_ye2012|Blunderbuss
Flying Lotus|26|metacritic_ye2012|Until the Quiet Comes
The Men|27|metacritic_ye2012|Open Your Heart
Cloud Nothings|28|metacritic_ye2012|Attack on Memory
Father John Misty|29|metacritic_ye2012|Fear Fun
Earth|30|metacritic_ye2012|Angels of Darkness, Demons of Light, Vol. 2
Baroness|31|metacritic_ye2012|Yellow & Green
Allo Darlin'|32|metacritic_ye2012|Europe
Dan Deacon|33|metacritic_ye2012|America
Amanda Palmer & The Grand Theft Orchestra|34|metacritic_ye2012|Theatre Is Evil
Dexys|35|metacritic_ye2012|One Day I'm Going To Soar
Saint Etienne|36|metacritic_ye2012|Words & Music by Saint Etienne
Godspeed You! Black Emperor|37|metacritic_ye2012|'Allelujah! Don't Bend! Ascend!
Patti Smith|38|metacritic_ye2012|Banga
Sharon Van Etten|39|metacritic_ye2012|Tramp
Actress|40|metacritic_ye2012|R.I.P.
Deafheaven|1|metacritic_ye2013|Sunbather
Julia Holter|2|metacritic_ye2013|Loud City Song
My Bloody Valentine|3|metacritic_ye2013|m b v
Jason Isbell|4|metacritic_ye2013|Southeastern
Tim Hecker|5|metacritic_ye2013|Virgins
Daft Punk|6|metacritic_ye2013|Random Access Memories
Touche Amore|7|metacritic_ye2013|Is Survived By
Laura Marling|8|metacritic_ye2013|Once I Was an Eagle
Chance the Rapper|9|metacritic_ye2013|Acid Rap
The Knife|10|metacritic_ye2013|Shaking the Habitual
Beyonce|11|metacritic_ye2013|Beyonce
William Tyler|12|metacritic_ye2013|Impossible Truth
Guy Clark|13|metacritic_ye2013|My Favorite Picture of You
Run the Jewels|14|metacritic_ye2013|Run the Jewels
Patty Griffin|15|metacritic_ye2013|American Kid
Phosphorescent|16|metacritic_ye2013|Muchacho
Boards of Canada|17|metacritic_ye2013|Tomorrow's Harvest
Parquet Courts|18|metacritic_ye2013|Light Up Gold
The National|19|metacritic_ye2013|Trouble Will Find Me
The Haxan Cloak|20|metacritic_ye2013|Excavation
Kanye West|21|metacritic_ye2013|Yeezus
Neko Case|22|metacritic_ye2013|The Worse Things Get, the Harder I Fight, the Harder I Fight, the More I Love You
Mikal Cronin|23|metacritic_ye2013|MCII
Pet Shop Boys|24|metacritic_ye2013|Electric
Vampire Weekend|25|metacritic_ye2013|Modern Vampires of the City
Bill Callahan|26|metacritic_ye2013|Dream River
Danny Brown|27|metacritic_ye2013|Old
Superchunk|28|metacritic_ye2013|I Hate Music
Thundercat|29|metacritic_ye2013|Apocalypse
Mountains|30|metacritic_ye2013|Centralia
The Icarus Line|31|metacritic_ye2013|Slave Vows
Janelle Monae|32|metacritic_ye2013|The Electric Lady
Queens of the Stone Age|33|metacritic_ye2013|...Like Clockwork
These New Puritans|34|metacritic_ye2013|Field of Reeds
Thee Oh Sees|35|metacritic_ye2013|Floating Coffin
Jon Hopkins|36|metacritic_ye2013|Immunity
Yo La Tengo|37|metacritic_ye2013|Fade
Earl Sweatshirt|38|metacritic_ye2013|Doris
John Grant|39|metacritic_ye2013|Pale Green Ghosts
Pissed Jeans|40|metacritic_ye2013|Honeys
D'Angelo and the Vanguard|1|metacritic_ye2014|Black Messiah
St. Vincent|2|metacritic_ye2014|St. Vincent
Run the Jewels|3|metacritic_ye2014|Run the Jewels 2
