album|album_id|artist|artist_id|duration_ms|name|popularity|preview_url|track_id|track_number|type
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|262019|Am I Amarillo|41|https://p.scdn.co/mp3-preview/f0b783cdc9cf7350e73e566d952d190ef47aae89?cid=8ab10b4296bd4266b959f2caee8dd7a4|6jktKEDl8SkKMrCxgVlEgg|9|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|205079|Blood Brothers|35|https://p.scdn.co/mp3-preview/731decb13653f469119534c165fafb264f514ebd?cid=8ab10b4296bd4266b959f2caee8dd7a4|2RDmJgD5zURAxjpOWnmsAc|10|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|200515|Live Or Die Trying|36|https://p.scdn.co/mp3-preview/782573d923140f78ca35526b48385609992a5440?cid=8ab10b4296bd4266b959f2caee8dd7a4|5HwHKzVqFND9JOtzLOsYLc|11|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|221092|Riding with Red|35|https://p.scdn.co/mp3-preview/e37204bed5830fc84067f0e390c2512785ea9b3b?cid=8ab10b4296bd4266b959f2caee8dd7a4|3hg6jMPlq2BjcgYxngre5U|12|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|247369|Red Bandana|39|https://p.scdn.co/mp3-preview/8bf854dfdf0590ba5003deab6f9e8caf91382b48?cid=8ab10b4296bd4266b959f2caee8dd7a4|3jTf0ZKs37BxiVI3xwHRaF|13|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|220744|Trying Like The Devil|53|https://p.scdn.co/mp3-preview/25c08a5ac317159ce83e676d2e7be8419ac03e6b?cid=8ab10b4296bd4266b959f2caee8dd7a4|1ALSPkVDcZFDj2eBcVTzWL|14|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|200770|Home Sweet Home|34|https://p.scdn.co/mp3-preview/b690b1770d90e64a81ee78e842e9bb52fea5250e?cid=8ab10b4296bd4266b959f2caee8dd7a4|50uRqjjzSyQIMTJf6kDHYs|15|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|186436|Burn Em Down|35|https://p.scdn.co/mp3-preview/c232548d77ae6c00e52e0e7f5f22fc88946e8d9a?cid=8ab10b4296bd4266b959f2caee8dd7a4|0KcU1a0eEbuXQ08vtLNbzv|16|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|217949|Shake A Heartache|34|https://p.scdn.co/mp3-preview/f9ecf471b8e65961306c656f4596ee14370345f0?cid=8ab10b4296bd4266b959f2caee8dd7a4|5DonKw9NXkUHsPZxnVG2Ud|17|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|275380|You On My Hands|34|https://p.scdn.co/mp3-preview/ddd99691685de1f45a9db3dd22ac33bb87cf8044?cid=8ab10b4296bd4266b959f2caee8dd7a4|7uiMqpoYaDZ5VEXhWRkytE|18|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|241678|To Be The Moon|33|https://p.scdn.co/mp3-preview/3bc84aa76fcaeafda3b9854249739f8423893f5d?cid=8ab10b4296bd4266b959f2caee8dd7a4|1pxT5X7itx5cUycIpKrnUR|19|track
