album|album_id|artist|artist_id|duration_ms|name|popularity|preview_url|track_id|track_number|type
Get Rich Or Die Tryin'|4ycNE7y1rp5215g1kkqk1P|"50 Cent|Nate Dogg"|"3q7HBObVc0L8jNeTe5Gofh|1Oa0bMld0A3u5OTYfMzp5h"|224426|21 Questions|70|https://p.scdn.co/mp3-preview/cf24622e9cb8d4eed1029f03eaa7184f583f55bb?cid=8ab10b4296bd4266b959f2caee8dd7a4|41bIQPBE1lFN0mmw6Lmssz|14|track
Get Rich Or Die Tryin'|4ycNE7y1rp5215g1kkqk1P|"50 Cent|Lloyd Banks|Eminem"|"3q7HBObVc0L8jNeTe5Gofh|3vDUJHQtqT3jFRZ2ECXDTi|7dGJo4pcD2V6oG8kP0tJRR"|248893|Don't Push Me|49|https://p.scdn.co/mp3-preview/cac6eb439b12077caff13e6253b1df089a3708ce?cid=8ab10b4296bd4266b959f2caee8dd7a4|4pmiIC65ustS2XeeJwQvAU|15|track
Get Rich Or Die Tryin'|4ycNE7y1rp5215g1kkqk1P|50 Cent|3q7HBObVc0L8jNeTe5Gofh|240680|Gotta Make It To Heaven|40|https://p.scdn.co/mp3-preview/98528981df241d716a17d916feea2ed071815f3c?cid=8ab10b4296bd4266b959f2caee8dd7a4|1dnBuF3ggJb41mfQCHIdzn|16|track
Get Rich Or Die Tryin'|4ycNE7y1rp5215g1kkqk1P|50 Cent|3q7HBObVc0L8jNeTe5Gofh|219400|"Wanksta - From ""8 Mile"" Soundtrack"|51|https://p.scdn.co/mp3-preview/3687b185e8dca4a9466695f8bfd6b60691863e6d?cid=8ab10b4296bd4266b959f2caee8dd7a4|6rpNe6gSkmiYW6BfSFATi5|17|track
Get Rich Or Die Tryin'|4ycNE7y1rp5215g1kkqk1P|50 Cent|3q7HBObVc0L8jNeTe5Gofh|255666|U Not Like Me|45|https://p.scdn.co/mp3-preview/2aeb49bb9848dd3d6e56d6d76e2e7b3a9e578c3e?cid=8ab10b4296bd4266b959f2caee8dd7a4|73SsX4CUXflgE4AupsB6Fr|18|track
Get Rich Or Die Tryin'|4ycNE7y1rp5215g1kkqk1P|50 Cent|3q7HBObVc0L8jNeTe5Gofh|218480|Lifes On The Line|43|https://p.scdn.co/mp3-preview/fa895f2b2da6e28c7b1080a8148242ba40ac7c4c?cid=8ab10b4296bd4266b959f2caee8dd7a4|65l5KYs1YMFplVybSvFZqZ|19|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|41333|Intro/ 50 Cent / The Massacre|40|https://p.scdn.co/mp3-preview/d5327ed79d951d1d47e50682d85611bd2f6493ad?cid=8ab10b4296bd4266b959f2caee8dd7a4|5hPb6xKr5ndF9leo7lmNJ0|1|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|231120|In My Hood|54|https://p.scdn.co/mp3-preview/b1ceab97b29d3a5f80695bdaa282d8ed14f99e8a?cid=8ab10b4296bd4266b959f2caee8dd7a4|3X5tOT7Aif4l4ZjRj217pa|2|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|184213|This Is 50|45|https://p.scdn.co/mp3-preview/e801bd0182b14985bb8f5bb94b16a66dc644f70a?cid=8ab10b4296bd4266b959f2caee8dd7a4|0u8iiPBZ5OqK1mbq1cZc0c|3|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|231026|I'm Supposed To Die Tonight|54|https://p.scdn.co/mp3-preview/c328eec51b26905e5abfaf0410efd8d91a7a777d?cid=8ab10b4296bd4266b959f2caee8dd7a4|6ygSlFgsuHPLENIKP860Hg|4|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|255173|Piggy Bank|50|https://p.scdn.co/mp3-preview/40f962db51d22dbf24d7b2b18d0de2b7d40a2726?cid=8ab10b4296bd4266b959f2caee8dd7a4|2rlcCS6vJSTrRMjsmVkoFY|5|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|"50 Cent|Eminem"|"3q7HBObVc0L8jNeTe5Gofh|7dGJo4pcD2V6oG8kP0tJRR"|226600|GATman And Robbin|48|https://p.scdn.co/mp3-preview/d0210c320ce86ac99b8bfb56570e3314eb767b68?cid=8ab10b4296bd4266b959f2caee8dd7a4|1hWjIe6XRGRtXFyxlaBrC7|6|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|"50 Cent|Olivia"|"3q7HBObVc0L8jNeTe5Gofh|5YBSzuCs7WaFKNr7Bky0Uf"|209106|Candy Shop|77|https://p.scdn.co/mp3-preview/266a580f4d72fe71c885b862396d52ce30644c77?cid=8ab10b4296bd4266b959f2caee8dd7a4|5D2mYZuzcgjpchVY1pmTPh|7|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|201826|Outta Control|50|https://p.scdn.co/mp3-preview/ff4577cc8ed3728d181c1cd5aefe0bfa01934cbf?cid=8ab10b4296bd4266b959f2caee8dd7a4|6dWNtdXVsT4t5oqN4rpN2U|8|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|245906|Get In My Car|54|https://p.scdn.co/mp3-preview/e478077467b409a6d8afb2bd736a9baf7651e9f4?cid=8ab10b4296bd4266b959f2caee8dd7a4|4nmBEd13jgjtV8Pc90JDDn|9|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|185586|Ski Mask Way|46|https://p.scdn.co/mp3-preview/9c59ba8d8897c1913fac59b530f69b624b99a963?cid=8ab10b4296bd4266b959f2caee8dd7a4|0BRBDRdjgP4Iw8coBDAeeT|10|track
