#,Title,New,Artist,Genre
39,Traveller,,Chris Stapleton,Country
40,evermore,,Taylor Swift,Alternative
41,Country Again (Side A),,Thomas Rhett,Country
42,The Very Best of B.J. Thomas,,B.J. Thomas,Vocal
43,"Retreat (feat. Topher, the Marine Rapper & D.Cure) - EP",New,Space Force,Hip Hop/Rap
44,NOW That's What I Call A Decade 1990s,,Various Artists,Pop
45,Lucifer: Season 5 - Bloody Celestial Karaoke Jam (Special Episode Soundtrack),New,Lucifer Cast,Soundtrack
46,Legend: The Best of Bob Marley and the Wailers (Remastered),,Bob Marley & The Wailers,Reggae
47,Mothership (Remastered),,Led Zeppelin,Rock
48,Gold: Greatest Hits,,ABBA,Pop
49,Nevermind,,Nirvana,Alternative
50,Déjà Vu,,"Crosby, Stills, Nash & Young",Rock
51,Fearless (Taylor's Version),,Taylor Swift,Country
52,Beautiful Trauma,,P!nk,Pop
53,Buy Dirt,,Jordan Davis,Country
54,Heart,,Eric Church,Country
55,OK ORCHESTRA,,AJR,Alternative
56,"WATAME NO UTA, Vol. 1",New,Tsunomaki Watame,J-Pop
57,Metallica,,Metallica,Heavy Metal
58,The Very Best of Eagles,,Eagles,Rock
59,If I Know Me,,Morgan Wallen,Country
60,Tickets To My Downfall,,Machine Gun Kelly,Alternative
61,The Dark Side of the Moon,,Pink Floyd,Rock
62,Sublime,,Sublime,Alternative
63,Hot Rocks 1964-1971,,The Rolling Stones,Rock
64,Look Up Child,,Lauren Daigle,Christian & Gospel
65,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",,Billie Eilish,Alternative
66,Jagged Little Pill (Remastered),,Alanis Morissette,Alternative
67,Back In Black,,AC/DC,Hard Rock
68,Tapestry,,Carole King,Singer/Songwriter
69,The Battle at Garden’s Gate,,Greta Van Fleet,Rock
70,Exodus,New,DMX,Hip Hop/Rap
71,"Hotline Miami, Vol. 3",New,Various Artists,Pop
72,Greatest Hits,,Guns N' Roses,Hard Rock
73,"The Platinum Collection (Greatest Hits I, II & III)",,Queen,Rock
74,Greatest Hits,,Queen,Rock
75,Reprise,New,Moby,Pop
76,Future Nostalgia (The Moonlight Edition),,Dua Lipa,Pop
77,Greatest Hits,,Mötley Crüe,Hard Rock
78,1 (2015 Version),,The Beatles,Rock
79,The Best Of DMX,,DMX,Hip Hop/Rap
80,Purgatory,,Tyler Childers,Country
81,1971: The Year That Music Changed Everything,,Various Artists,Pop
82,Based on a True Story - EP,New,Brynn Cartelli,Pop
83,Golden Legends: B.J. Thomas (Re-Recorded Versions),,B.J. Thomas,Country
84,Meteora,,LINKIN PARK,Hard Rock
85,Fine Line,,Harry Styles,Pop
86,Fortitude,,GOJIRA,Heavy Metal
87,Surface Sounds,,KALEO,Alternative
88,Nothing But the Best (Remastered),,Frank Sinatra,Vocal Pop
89,Hybrid Theory,,LINKIN PARK,Hard Rock
90,Mamma Mia! (The Movie Soundtrack feat. the Songs of ABBA) [Bonus Track Version],,"Benny Andersson, Björn Ulvaeus, Meryl Streep & Amanda Seyfried",Musicals
91,MTV Unplugged In New York (Live),,Nirvana,Rock
92,Hell Freezes Over (Remastered) [Live],,Eagles,Rock
93,The Marfa Tapes,,"Jack Ingram, Miranda Lambert & Jon Randall",Country
94,One Guy Standing by Himself,New,Alfred Banks,Hip Hop/Rap
95,The Essential Johnny Cash,,Johnny Cash,Country
96,August and Everything After,,Counting Crows,Rock
97,34 Number Ones,,Alan Jackson,Country
98,Legend (Deluxe Edition),,Bob Marley & The Wailers,Reggae
99,Uprising (Remastered) [Bonus Track Version],,Bob Marley & The Wailers,Reggae
100,KHALED KHALED,,DJ Khaled,Hip Hop/Rap
101,Heaven & Hell,,Ava Max,Pop
102,Greatest & Latest (Re-Recorded Versions),,B.J. Thomas,Country
103,S.Y.O.T.O.S. - EP,New,Doc Todd & Quintin Quo,Hip Hop/Rap
104,Cruella (Original Score),,Nicholas Britell,Soundtrack
105,Rumours,,Fleetwood Mac,Rock
106,The Essential Billy Joel,,Billy Joel,Rock
107,Justice,,Justin Bieber,Pop
108,Greatest Hits,,Foo Fighters,Alternative
109,Boston,,Boston,Rock
110,All Over the World: The Very Best of Electric Light Orchestra,,Electric Light Orchestra,Rock
111,Ones,,Selena,Pop in Spanish
112,After Hours,,The Weeknd,R&B/Soul
113,Music From Baz Luhrmann's Film Moulin Rouge (Original Motion Picture Soundtrack),,Various Artists,Soundtrack
114,NOW That's What I Call A Decade! 2010's,,Various Artists,Pop
115,Break Our Fall,New,Dispatch,Rock
116,Fire In Little Africa,New,Fire In Little Africa,Hip Hop/Rap
